comment,score,title
展示品の管理が行き届いており、また、内容も充実しており良い。詳しい解説者と同行出来れば、かなりの知識が得られる。,1.0,内容が充実していて、管理状態が良い
祖母のお家が近いので４０年も行っているのに、今回初めて子供たちと行きました。今回、夏休みが終わり平日に行った為、ガラガラでした。この時は、子どもが無料だったので、大人のみでお得でしたよ。 恐竜展の時で子供たちも私たち大人も、とても興奮する位、楽しくダイナミックでした。触...さらに表示,1.0,何で行かなかったんだろう
案内に沿って止めた駐車場が入口の逆側でした。 入口の前にも公園の無料駐車場があり、そちらの方が近かったです。 子供は無料というのが嬉しいです。,1.0,子供たちが興味を持ってました
2018年7月14日(土)～9月2日(日)まで、第57回企画展「化石動物園」哺乳類３億年の歴史が開催されていますので、入館料は一般720円になっています。入館料720円はチョット高いかな？と思いましたが、入ってみたら、納得の展示内容でした。群馬県立自然史博物館という名前...さらに表示,1.0,化石動物園開催中
意外にも、じっくり見れるところです。 じっくり見るべきものです。 子どもの勉強にも、夏休みの宿題などにもネタが使えますが、 地元の自然がこんなにも面白いかと、大人でも楽しめます。,1.0,時間にはゆとりをもってじっくりと
土曜日の昼間に行きましたが、混んではいませんでした。大人５１０円、子供、駐車場は無料でした。恐竜の展示は迫力あります。施設内にレストラン等はなく、お弁当を持参して行きました。自動販売機があるところにテーブルと椅子がありそこで食べる事ができます。,1.0,見応えありました
子供を連れて訪れました。11時頃に到着しましたが、駐車場は広くあっさりと駐車ができました。小学生は無料で大人は510円でした。地球誕生から現代までをわかりやすく展示がされています。子供が特に興味を持ったのは、動く恐竜の展示です。たぶん実物大なのでしょう。その大きさにびっ...さらに表示,1.0,楽しめました。
都道府県立の施設は何れも価値がありますが、ここはあっという間に2時間経ってしまいました。群馬の展示が多いものの、その他の展示も充実していて、雨の日に子どもを連れて行くのにぴったりです。体験コーナーがもっとあるといいと思います。,1.0,一見の価値あり
恐竜の骨やロボットはありますがそのほかの展示物もいろいろあってよかったです。剥製だけでなく生きた動物も展示してあるので楽しめました。,1.0,恐竜だけではありません
何度目かの訪問。姪を連れて行きましたが、小学生以下は無料で助かりました。常設展示の恐竜の展示は迫力があります。１階で普通に見ても迫力がありますが、２階から見ても違う角度から見られて楽しめます。ガラスの床を歩いて、上から見られる発掘現場はちょっとドキドキしますが、いつ見て...さらに表示,1.0,大人も楽しめます。
巨大な竜脚類３兄弟や、動きが地味めな恐竜ロボットなど、目玉はもちろん恐竜関連なのでしょうが、古生代もきっちり一通り展示されていますし、昔の哺乳類も押さえていてなかなか楽しめます。 見せ方もミニチュアのジオラマなど工夫されており面白いです。 また、人類史に関してはホモエレ...さらに表示,1.0,恐竜が中心ですが人類史もかなりいい
館内の常設展は、地球の誕生から恐竜の時代まで、群馬県の自然、自然界におけるヒトと地球、の大きく３つに区分することができます。３区分とも解説員の方が各３０分程度をかけて詳しく説明してくれるので、より理解を深めることができます。,1.0,解説がおすすめ
「もみじ平」の公園内にあり、体育館や競技場が併設されているので、祝日に行ったのですが駐車場はかなり混んでいました。 企画展をやっていたので大人は８２０円でしたが、中学生以下は無料というのは助かりました。 博物館は恐竜はもちろん、発掘現場の展示もあり、小さい子供にもわかり...さらに表示,1.0,迫力ある恐竜が見られます
日曜日に訪問しましたが、雨が降っていたせいもあるでしょうが結構な人が中にいました。 「自然史」ということで、動植物全般の歴史を取り上げており、カバー範囲が広いです。 恐竜達のスペースは確かに圧巻で、実はそれぞれの説明なども充実しているのですが、工夫された展示を見ている...さらに表示,1.0,見るべきなのは恐竜たちだけではない
シルバーウィークに訪問。 駐車場は2箇所あり奥側の下がった場所に止めた方が近いです。 ちょうどティラノサウルスの企画展をやっていて解説が聞けました。恐竜研究は日々新たな発見がありますが展示も解説内容もきちんと反映されています。クイズ形式の解説も分かりやすく工夫されており...さらに表示,1.0,自然に囲まれた環境にある博物館
